Section,Model,Method,VRR,AED,MED,State_Acc,Metro_Acc,Tract,Block,GLARE_bits
Top 1,OPENAI o3†,vanilla,80.8%,13.56,5.46,100.0,99.02,71,34,1557.94
Top 1,OPENAI o3†,+CoT,80.8%,13.55,5.75,100.0,99.35,65,28,1551.84
Top 1,OPENAI o4-MINI†,vanilla,53.79%,15.64,7.04,100.0,98.09,57,24,1006.26
Top 1,OPENAI o4-MINI†,+CoT,60.71%,14.02,8.24,100.0,100.0,54,21,1131.5
Top 1,GPT-4o,vanilla,12.95%,2.01,0.40,100.0,100.0,29,15,334.24
Top 1,GPT-4o,+CoT,52.46%,20.29,3.08,100.0,91.35,57,23,1024.21
Top 1,GPT-4.1,vanilla,83.48%,15.24,6.07,100.0,98.76,64,27,1582.64
Top 1,GPT-4.1,+CoT,96.21%,15.87,6.49,100.0,98.35,70,31,1808.87
Top 1,GEMINI 2.5 PRO†,vanilla,84.53%,14.75,4.63,99.68,97.14,84,32,1639.46
Top 1,GEMINI 2.5 PRO†,+CoT,94.64%,19.14,5.74,100.0,95.03,77,25,1770.61
Top 1,CLAUDE SONNET 4,vanilla,23.35%,92.68,9.62,100.0,73.47,25,13,366.31
Top 1,CLAUDE SONNET 4,+CoT,56.17%,55.12,18.43,100.0,85.25,30,16,870.66
Top 1,CLAUDE SONNET 4†,vanilla,9.47%,4.8,1.0,100.0,100.0,16,9,220.04
Top 1,CLAUDE SONNET 4†,+CoT,24.23%,113.64,11.17,100.0,70.71,32,17,367.79
Top 1,CLAUDE OPUS 4,vanilla,24.01%,145.06,30.04,99.05,60.95,28,17,321.73
Top 1,CLAUDE OPUS 4,+CoT,94.71%,36.78,18.08,100.0,86.94,27,15,1526.07
Top 1,CLAUDE OPUS 4†,vanilla,15.64%,108.52,3.36,100.0,69.12,25,15,265.55
Top 1,CLAUDE OPUS 4†,+CoT,85.02%,64.09,20.34,100.0,78.19,34,21,1287.35
Top 1,QVQ-MAX†,vanilla,66.74%,121.06,24.02,98.52,74.44,37,13,933.29
Top 1,QVQ-MAX†,+CoT,78.19%,144.12,40.57,98.44,66.56,31,15,1014.64
Top 1,LLAMA 4 MAVERICK,vanilla,88.77%,166.61,30.86,96.56,67.72,31,17,1168.31
Top 1,LLAMA 4 MAVERICK,+CoT,97.58%,189.0,35.09,95.75,62.5,31,13,1248.44
Top 1,LLAMA 4 SCOUT,vanilla,34.36%,129.16,26.32,96.38,70.29,16,6,472.76
Top 1,LLAMA 4 SCOUT,+CoT,71.59%,37.32,16.29,99.61,89.11,23,10,1162.65
Top 3,OPENAI o3†,vanilla,87.95%,7.44,2.73,100.0,100.0,96,37,1859.68
Top 3,OPENAI o3†,+CoT,89.06%,7.45,3.16,100.0,100.0,97,41,1864.45
Top 3,OPENAI o4-MINI†,vanilla,71.88%,11.2,4.31,100.0,100.0,71,30,1430.0
Top 3,OPENAI o4-MINI†,+CoT,73.88%,11.32,5.18,100.0,99.65,79,34,1449.29
Top 3,GPT-4o,vanilla,13.84%,1.24,0.27,100.0,100.0,35,18,374.47
Top 3,GPT-4o,+CoT,84.38%,9.56,5.31,100.0,99.68,64,28,1672.56
Top 3,GPT-4.1,vanilla,96.88%,14.06,4.29,100.0,98.92,86,29,1896.49
Top 3,GPT-4.1,+CoT,100.0%,12.86,5.17,100.0,99.49,91,34,1943.47
Top 3,GEMINI 2.5 PRO†,vanilla,95.07%,9.92,2.98,100.0,99.72,108,42,1958.81
Top 3,GEMINI 2.5 PRO†,+CoT,98.88%,11.08,3.41,100.0,99.73,103,35,2002.4
Top 3,CLAUDE SONNET 4,vanilla,27.31%,92.15,8.99,98.26,73.04,28,15,431.4
Top 3,CLAUDE SONNET 4,+CoT,76.21%,28.54,13.94,100.0,93.88,36,17,1284.46
Top 3,CLAUDE SONNET 4†,vanilla,12.11%,21.34,0.62,100.0,88.89,22,13,263.73
Top 3,CLAUDE SONNET 4†,+CoT,41.63%,123.18,27.39,98.24,74.12,32,18,573.21
Top 3,CLAUDE OPUS 4,vanilla,39.65%,21.92,9.16,100.0,93.51,36,18,707.31
Top 3,CLAUDE OPUS 4,+CoT,95.81%,23.62,11.0,100.0,95.14,51,18,1673.64
Top 3,CLAUDE OPUS 4†,vanilla,40.75%,20.33,5.49,99.35,90.91,41,17,761.51
Top 3,CLAUDE OPUS 4†,+CoT,94.05%,25.11,10.45,100.0,91.55,54,22,1641.64
Top 3,QVQ-MAX†,vanilla,84.8%,32.92,16.15,100.0,92.06,41,15,1393.7
Top 3,QVQ-MAX†,+CoT,91.85%,29.47,16.38,100.0,95.89,46,22,1552.41
Top 3,LLAMA 4 MAVERICK,vanilla,91.85%,174.82,28.49,94.21,67.77,32,15,1213.11
Top 3,LLAMA 4 MAVERICK,+CoT,88.33%,163.05,25.81,96.42,68.36,37,19,1188.04
Top 3,LLAMA 4 SCOUT,vanilla,32.38%,33.6,14.46,99.15,87.29,21,10,536.35
Top 3,LLAMA 4 SCOUT,+CoT,79.3%,24.84,12.53,99.67,95.0,28,8,1364.48
